image_path,dish_id,calories,mass,fat,protein,carbohydrates
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1565727765/rgb.png,1565727765,26.32,77.0,0.308,1.83,5.237
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1566844850/rgb.png,1566844850,491.235168,345.0,25.456135,35.928123,30.58173
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1561666794/rgb.png,1561666794,138.097,97.0,5.176,6.544,16.727001
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1564086709/rgb.png,1564086709,393.270325,307.0,14.645413,15.606251,53.99876
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1561579824/rgb.png,1561579824,185.212708,88.0,10.632797,17.977421,2.611722
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1559674689/rgb.png,1559674689,63.720001,177.0,0.177,0.885,15.93
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1558109907/rgb.png,1558109907,43.470001,63.0,0.126,0.441,11.34
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1559844113/rgb.png,1559844113,312.955017,356.0,12.968,7.371,49.254997
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1560787696/rgb.png,1560787696,37.869999,7.0,2.94,2.59,0.098
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1563208129/rgb.png,1563208129,426.711243,291.0,26.187735,19.36132,27.697926
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1567110519/rgb.png,1567110519,100.944618,100.0,9.542274,1.362099,3.697084
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1562699570/rgb.png,1562699570,24.42,22.0,0.198,0.572,5.06
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1558719570/rgb.png,1558719570,74.360001,143.0,0.286,0.429,20.02
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1558721757/rgb.png,1558721757,768.873047,133.0,65.834999,29.792002,30.191
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1566936323/rgb.png,1566936323,368.292206,318.0,24.078575,45.8591,11.995163
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1561577678/rgb.png,1561577678,218.887756,104.0,12.566033,21.246046,3.08658
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1558725253/rgb.png,1558725253,33.950001,97.0,0.388,2.328,6.79
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1560367296/rgb.png,1560367296,184.383316,362.0,11.224784,13.026852,18.360016
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1564170071/rgb.png,1564170071,14.0,35.0,0.035,0.385,3.15
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1561741139/rgb.png,1561741139,108.199997,20.0,8.4,7.4,0.28
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1562788536/rgb.png,1562788536,245.132004,190.0,6.61,5.398,44.751999
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1559843492/rgb.png,1559843492,31.710001,95.0,0.303,0.971,7.42
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1561060925/rgb.png,1561060925,93.914848,156.0,4.284307,8.246765,9.30445
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1563550584/rgb.png,1563550584,75.399994,145.0,0.29,14.5,1.015
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1563984729/rgb.png,1563984729,495.720032,321.0,33.59,38.98,7.544
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1564169197/rgb.png,1564169197,116.449997,50.0,6.5,5.5,8.95
/Users/j/.cache/kagglehub/datasets/gillesokhin/nutrition5k-dataset/versions/6/imagery/realsense_overhead/dish_1562961609/rgb.png,1562961609,423.541779,186.0,17.73101,29.078554,35.247433
